category,avg_shift,max_shift,min_shift,word_count
technology,0.9127592761069536,1.0594502873718739,0.7967847585678101,32
communication,0.8803310744740345,0.9859866537153721,0.7591056972742081,27
climate_environment,0.8767758044931624,1.0285311453044415,0.7922780513763428,27
politics_society,0.9230326597321907,1.011962884105742,0.8218384981155396,29
economy_work,0.8692468736941615,0.9811341036111116,0.7524990290403366,30
health_wellbeing,0.8773897954359137,0.9680108688771725,0.7361721992492676,29
entertainment_culture,0.882553049535663,0.9600334949791431,0.7660708576440811,27
